question,choiceA,choiceB,choiceC,choiceD,correctAnswer,explanation,explanationVi,part,topic,difficulty
"The courier will deliver the package directly _____ your house.","to","at","in","for","A","The verb ""deliver"" takes the preposition ""to"" to indicate destination.","Dịch nghĩa: Người giao hàng sẽ giao gói hàng trực tiếp đến nhà bạn. | Giải thích: Động từ ""deliver"" đi với giới từ ""to"" để chỉ nơi đến.","5","shipping","500"
"The cargo ship has already _____ from the port.","depart","departed","departing","departs","B","The present perfect auxiliary ""has"" requires the past participle ""departed"" to indicate completion.","Dịch nghĩa: Tàu chở hàng đã khởi hành từ cảng. | Giải thích: Trợ động từ hoàn thành ""has"" yêu cầu phân từ quá khứ ""departed"" để chỉ hành động đã hoàn thành.","5","shipping","500"
"The shipping carrier _____ the goods early yesterday morning.","transport","transported","transporting","will transport","B","The simple past tense ""transported"" matches the past time expression ""yesterday morning"".","Dịch nghĩa: Hãng vận tải đã vận chuyển hàng hóa vào sáng sớm ngày hôm qua. | Giải thích: Thì quá khứ đơn ""transported"" phù hợp với cụm từ chỉ thời gian quá khứ ""yesterday morning"".","5","shipping","600"
"We need to select a reliable transport carrier _____ avoid shipping delays.","so that","to","because","although","B","The preposition ""to"" acts as an infinitive of purpose, short for ""in order to"".","Dịch nghĩa: Chúng ta cần chọn một hãng vận tải đáng tin cậy để tránh chậm trễ vận chuyển. | Giải thích: Giới từ ""to"" đóng vai trò là động từ chỉ mục đích, viết tắt của ""in order to"".","5","shipping","600"
"The shipment was inspected by customs officers before it _____ cleared.","is","was","were","has been","B","The past events of the sentence require the past passive voice ""was cleared"" for the singular noun ""it"".","Dịch nghĩa: Lô hàng đã được kiểm tra bởi các nhân viên hải quan trước khi thông quan. | Giải thích: Sự kiện trong quá khứ yêu cầu thể bị động ở quá khứ ""was cleared"" cho danh từ số ít ""it"".","5","shipping","700"
"Please check the customs regulations before _____ the electronic components.","import","importing","imported","imports","B","After the preposition ""before"", the gerund form ""importing"" is required.","Dịch nghĩa: Vui lòng kiểm tra các quy định hải quan trước khi nhập khẩu các linh kiện điện tử. | Giải thích: Sau giới từ ""before"", dạng danh động từ ""importing"" là bắt buộc.","5","shipping","700"
"The warehouse manager performed an inventory check _____ verify the stock levels.","so that","in order to","because of","although","B","The purpose phrase ""in order to"" is followed by the base verb ""verify"".","Dịch nghĩa: Quản lý kho đã thực hiện kiểm tra hàng tồn kho để xác minh mức độ tồn kho. | Giải thích: Cụm từ chỉ mục đích ""in order to"" được theo sau bởi động từ nguyên mẫu ""verify"".","5","shipping","800"
"The package was dispatched yesterday, _____ means it should arrive tomorrow.","whose","which","that","what","B","The relative pronoun ""which"" is used here to modify the entire preceding clause.","Dịch nghĩa: Gói hàng đã được gửi đi ngày hôm qua, có nghĩa là nó sẽ đến vào ngày mai. | Giải thích: Đại từ quan hệ ""which"" được sử dụng ở đây để bổ nghĩa cho toàn bộ mệnh đề đi trước.","5","shipping","800"
"Only after the logistics manager had verified the consignments _____ the shipment leave the port.","the ship did","did the ship","the ship would","would the ship did","B","The sentence starts with ""Only after..."", which triggers inversion. The auxiliary ""did"" comes before the subject.","Dịch nghĩa: Chỉ sau khi người quản lý hậu cần xác minh các lô hàng ký gửi, tàu mới rời cảng. | Giải thích: Câu bắt đầu bằng ""Only after..."", kích hoạt hiện tượng đảo ngữ. Trợ động từ ""did"" đứng trước chủ ngữ.","5","shipping","900"
"The cargo consignment, the delivery of which _____ delayed by customs, finally arrived.","is","was","were","are","B","The relative clause subject ""the delivery"" is singular, requiring the singular past verb ""was"".","Dịch nghĩa: Lô hàng ký gửi, có việc giao hàng bị trì hoãn bởi hải quan, cuối cùng đã đến nơi. | Giải thích: Relative clause subject ""the delivery"" is singular, requiring the singular past verb ""was"".","5","shipping","900"
"The guest checked into _____ room at three o'clock.","he","him","his","himself","C","The possessive adjective ""his"" is required before the noun ""room"".","Dịch nghĩa: Khách đã nhận phòng của mình lúc ba giờ. | Giải thích: Tính từ sở hữu ""his"" được yêu cầu đứng trước danh từ ""room"".","5","hotel","500"
"The hotel receptionist welcomed the guests _____ the lobby.","on","at","in","with","C","We use the preposition ""in"" for enclosed spaces like ""in the lobby"".","Dịch nghĩa: Lễ tân khách sạn đã chào đón khách tại sảnh chờ. | Giải thích: Chúng ta sử dụng giới từ ""in"" cho các không gian khép kín như ""in the lobby"".","5","hotel","500"
"The room service _____ prepared by the hotel chef last night.","is","was","were","being","B","The past indicator ""last night"" requires the past passive auxiliary verb ""was"".","Dịch nghĩa: Dịch vụ phòng đã được chuẩn bị bởi đầu bếp khách sạn vào tối qua. | Giải thích: Trạng từ chỉ thời gian quá khứ ""last night"" yêu cầu trợ động từ bị động quá khứ ""was"".","5","hotel","600"
"The lobby was _____ decorated for the annual holiday conference.","beautiful","beautifully","beauty","beautify","B","The adverb ""beautifully"" is needed to modify the participle ""decorated"".","Dịch nghĩa: Sảnh chờ đã được trang trí đẹp mắt cho hội nghị kỳ nghỉ thường niên. | Giải thích: Trạng từ ""beautifully"" là cần thiết để bổ nghĩa cho phân từ ""decorated"".","5","hotel","600"
"The tourist completed the check-in process before _____ the hotel facilities.","use","using","used","uses","B","The preposition ""before"" is followed by the gerund form ""using"".","Dịch nghĩa: Khách du lịch đã hoàn thành thủ tục nhận phòng trước khi sử dụng các dịch vụ của khách sạn. | Giải thích: Giới từ ""before"" được theo sau bởi dạng danh động từ ""using"".","5","hotel","700"
"We had to wait at the reception _____ the hotel was fully booked.","because","although","unless","despite","A","The conjunction ""because"" introduces a clause explaining the reason for waiting.","Dịch nghĩa: Chúng tôi đã phải đợi ở quầy tiếp tân vì khách sạn đã được đặt kín phòng. | Giải thích: Liên từ ""because"" giới thiệu mệnh đề giải thích lý do phải chờ đợi.","5","hotel","700"
"The hotel provides free breakfast, _____ is a standard amenity for business guests.","who","which","that","whose","B","The relative pronoun ""which"" is used after a comma to refer to the non-human noun phrase ""free breakfast"".","Dịch nghĩa: Khách sạn cung cấp bữa sáng miễn phí, đây là một tiện nghi tiêu chuẩn cho khách đi công tác. | Giải thích: Đại từ quan hệ ""which"" được dùng sau dấu phẩy để chỉ cụm danh từ chỉ vật ""free breakfast"".","5","hotel","800"
"The concierge assisted the guest _____ booking a tour around the city.","with","at","for","about","A","The verb phrase ""assist someone with something"" requires the preposition ""with"".","Dịch nghĩa: Nhân viên hỗ trợ đã giúp khách đặt một chuyến tham quan quanh thành phố. | Giải thích: Cấu trúc động từ ""assist someone with something"" yêu cầu giới từ ""with"".","5","hotel","800"
"Had the resort managed its bookings better, its occupancy rate _____ higher.","would be","will be","would have been","had been","C","This is an inverted third conditional sentence. The result clause requires ""would have been"".","Dịch nghĩa: Nếu khu nghỉ dưỡng quản lý việc đặt phòng tốt hơn, tỷ lệ lấp đầy phòng của nó đã cao hơn. | Giải thích: Đây là câu điều kiện loại 3 đảo ngữ. Mệnh đề kết quả yêu cầu ""would have been"".","5","hotel","900"
"The hospitality seminar, _____ speakers are industry leaders, starts next Tuesday.","who","whose","whom","which","B","The possessive relative pronoun ""whose"" modifies the noun ""speakers"" showing relation to ""the hospitality seminar"".","Dịch nghĩa: Hội thảo ngành dịch vụ, có các diễn giả là những người dẫn đầu ngành, bắt đầu vào thứ Ba tới. | Giải thích: Đại từ quan hệ sở hữu ""whose"" bổ nghĩa cho danh từ ""speakers"" chỉ mối quan hệ với ""the hospitality seminar"".","5","hotel","900"
"Please send your reply _____ the marketing director as soon as possible.","at","to","with","for","B","The noun ""reply"" takes the preposition ""to"" to indicate the recipient of the reply.","Dịch nghĩa: Vui lòng gửi câu trả lời của bạn cho giám đốc tiếp thị càng sớm càng tốt. | Giải thích: Danh từ ""reply"" đi với giới từ ""to"" để chỉ người nhận phản hồi.","5","email","500"
"I received an email message _____ Mr. Smith about the budget.","from","at","to","by","A","The preposition ""from"" indicates the source or sender of the message.","Dịch nghĩa: Tôi đã nhận được một tin nhắn email từ ông Smith về ngân sách. | Giải thích: Giới từ ""from"" chỉ nguồn hoặc người gửi tin nhắn.","5","email","500"
"The attachment _____ sent to the wrong email address yesterday.","is","was","were","being","B","The past indicator ""yesterday"" requires the singular past passive verb ""was"".","Dịch nghĩa: Tệp đính kèm đã được gửi đến sai địa chỉ email ngày hôm qua. | Giải thích: Trạng từ quá khứ ""yesterday"" yêu cầu động từ bị động quá khứ số ít ""was"".","5","email","600"
"The administrative assistant _____ replied to the customer inquiry.","prompt","promptly","promptness","prompts","B","The adverb ""promptly"" modifies the verb ""replied"".","Dịch nghĩa: Trợ lý hành chính đã phản hồi nhanh chóng câu hỏi của khách hàng. | Giải thích: Trạng từ ""promptly"" bổ nghĩa cho động từ ""replied"".","5","email","600"
"Please check the subject line before _____ the email message.","send","sending","sent","sends","B","After the preposition ""before"", the gerund form ""sending"" is required.","Dịch nghĩa: Vui lòng kiểm tra dòng tiêu đề trước khi gửi tin nhắn email. | Giải thích: Sau giới từ ""before"", dạng danh động từ ""sending"" là bắt buộc.","5","email","700"
"Mr. Black replied to the client _____ confirm the receipt of files.","so that","to","because of","although","B","The preposition ""to"" acts as an infinitive of purpose, meaning ""in order to"".","Dịch nghĩa: Ông Black đã trả lời khách hàng để xác nhận việc nhận tài liệu. | Giải thích: Giới từ ""to"" đóng vai trò là động từ chỉ mục đích, có nghĩa là ""để"".","5","email","700"
"We confirmed the order details _____ the client had sent the confirmation email.","after","during","despite","unless","A","The temporal conjunction ""after"" logically introduces the action that occurred first.","Dịch nghĩa: Chúng tôi đã xác nhận chi tiết đơn hàng sau khi khách hàng gửi email xác nhận. | Giải thích: Liên từ chỉ thời gian ""after"" giới thiệu một cách hợp lý hành động đã xảy ra trước.","5","email","800"
"The email was forwarded to the marketing team, _____ was a good decision.","who","which","that","whom","B","The relative pronoun ""which"" refers to the entire action of forwarding the email.","Dịch nghĩa: Email đã được chuyển tiếp đến đội ngũ tiếp thị, đó là một quyết định sáng suốt. | Giải thích: Đại từ quan hệ ""which"" chỉ toàn bộ hành động chuyển tiếp email.","5","email","800"
"Should you not receive any reply, please forward this correspondence to the _____ recipient.","intend","intended","intention","intending","B","The past participle adjective ""intended"" modifies the noun ""recipient"", meaning the planned receiver.","Dịch nghĩa: Nếu bạn không nhận được bất kỳ phản hồi nào, vui lòng chuyển tiếp thư từ này cho người nhận dự kiến. | Giải thích: Tính từ phân từ quá khứ ""intended"" bổ nghĩa cho danh từ ""recipient"", có nghĩa là người nhận dự kiến.","5","email","900"
"The email correspondence, the recipient of which _____ unknown, was returned to sender.","is","were","was","are","C","The relative clause subject is the singular noun phrase ""the recipient"", requiring the singular past verb ""was"".","Dịch nghĩa: Thư từ giao dịch qua email, có người nhận không xác định, đã bị trả lại cho người gửi. | Giải thích: Chủ ngữ của mệnh đề quan hệ là cụm danh từ số ít ""the recipient"", yêu cầu động từ quá khứ số ít ""was"".","5","email","900"
