word,pronunciation,partOfSpeech,definition,definitionNative,example,exampleTranslation,topic,difficulty,synonyms
"Convene","/kənˈviːn/","verb","Come or bring together for a meeting or activity; assemble.","Triệu tập (cuộc họp)","The committee will convene a special session next Tuesday to discuss the budget.","The committee will convene a special session next Tuesday to discuss the budget.","meetings","800","summon,call together,assemble,gather"
"Brainstorm","/ˈbreɪnstɔːm/","verb","Hold a group discussion to produce ideas.","Động não, phát kiến ý tưởng","We gathered the marketing team to brainstorm names for the new product.","We gathered the marketing team to brainstorm names for the new product.","meetings","600","think,deliberate,conceptualize"
"Present","/prɪˈzent/","verb","Give a speech, demonstration, or lecture to an audience.","Thuyết trình, trình bày","The sales director will present the annual marketing plan to the investors.","The sales director will present the annual marketing plan to the investors.","meetings","500","demonstrate,show,exhibit,lecture"
"Slide","/slaɪd/","noun","A single page of a presentation created with software like PowerPoint.","Trang trình chiếu, slide","Please refer to the third slide of my presentation for the comparison chart.","Please refer to the third slide of my presentation for the comparison chart.","meetings","500","page,frame,visual"
"Podium","/ˈpəʊdiəm/","noun","A small platform on which a person may stand to be seen by an audience, as when making a speech.","Bục thuyết trình, bục giảng","The speaker stepped up to the podium and adjusted the microphone.","The speaker stepped up to the podium and adjusted the microphone.","meetings","750","lectern,platform,stage,pulpit"
"Venue","/ˈvenjuː/","noun","The place where something happens, especially an organized event such as a concert, conference, or sports competition.","Địa điểm tổ chức (sự kiện, hội nghị)","The hotel grand ballroom is the perfect venue for the corporate conference.","The hotel grand ballroom is the perfect venue for the corporate conference.","meetings","700","location,place,site,setting"
"Seminar","/ˈsemɪnɑː(r)/","noun","A conference or other meeting for discussion or training.","Hội thảo chuyên đề","The accounting firm is organizing a seminar on the new tax laws.","The accounting firm is organizing a seminar on the new tax laws.","meetings","650","workshop,conference,symposium,class"
"Keynote","/ˈkiːnəʊt/","noun","A central theme; or a main speech given at a conference.","Bài phát biểu chủ đạo, diễn văn chính","The founder of the tech company delivered the keynote address at the summit.","The founder of the tech company delivered the keynote address at the summit.","meetings","750","main speech,theme speech,plenary speech"
"Audience","//ˈɔːdiəns/","noun","The assembled spectators or listeners at a public event such as a play, film, concert, or meeting.","Thính giả, khán giả","The speaker engaged the audience with several interesting case studies.","The speaker engaged the audience with several interesting case studies.","meetings","550","spectators,listeners,crowd,viewers"
"Participate","/pɑːˈtɪsɪpeɪt/","verb","Take part in an action or event.","Tham dự, tham gia","All staff members are encouraged to participate in the charity marathon.","All staff members are encouraged to participate in the charity marathon.","meetings","600","take part,engage,join in,share"
"Dynamic","/daɪˈnæmɪk/","adjective","Characterized by constant change, activity, or progress; positive and active attitude.","Năng động, năng nổ","We are looking for a dynamic sales representative to lead the new campaign.","We are looking for a dynamic sales representative to lead the new campaign.","meetings","650","energetic,active,vibrant,forceful"
"Structure","/ˈstrʌktʃə(r)/","noun","The arrangement of and relations between the parts or elements of something complex.","Cấu trúc, kết cấu","The presentation was logical and followed a clear structure.","The presentation was logical and followed a clear structure.","meetings","500","construction,form,format,organization"
"Clarify","/ˈklærɪfaɪ/","verb","Make a statement or situation less confusing and more clearly comprehensible.","Làm rõ, làm sáng tỏ","Could you please clarify the target delivery date for the project?","Could you please clarify the target delivery date for the project?","meetings","650","explain,clear up,elucidate,simplify"
"Summarize","/ˈsʌməraɪz/","verb","Give a brief statement of the main points of something.","Tóm tắt","Before closing the meeting, let me summarize the main decisions we made.","Before closing the meeting, let me summarize the main decisions we made.","meetings","600","outline,recap,condense,abstract"
"Propose","/prəˈpəʊz/","verb","Put forward an idea or plan for consideration or discussion by others.","Đề xuất, kiến nghị","I propose that we conduct a marketing survey before launching the website.","I propose that we conduct a marketing survey before launching the website.","meetings","600","suggest,offer,proffer,recommend"
"Second","/ˈsekənd/","verb","Formally support a nomination or resolution before it is put to a vote.","Tán thành, ủng hộ (ý kiến trong cuộc họp)","The board member decided to second the motion to expand the budget.","The board member decided to second the motion to expand the budget.","meetings","750","support,endorse,back,sponsor"
"Vote","/vəʊt/","verb","Give a formal expression of opinion or choice on a subject or candidate.","Biểu quyết, bỏ phiếu","The directors will vote on the proposed merger during the next session.","The directors will vote on the proposed merger during the next session.","meetings","500","ballot,elect,choose"
"Consensus","/kənˈsensəs/","noun","A general agreement.","Sự đồng lòng, sự nhất trí","It was difficult to reach a consensus due to the conflicting viewpoints.","It was difficult to reach a consensus due to the conflicting viewpoints.","meetings","750","agreement,harmony,unanimity,accord"
"Postpone","/pəʊˈspəʊn/","verb","Cause or arrange for something to take place at a time later than that first planned.","Hoãn lại","We had to postpone the product presentation because the prototype was not ready.","We had to postpone the product presentation because the prototype was not ready.","meetings","600","delay,defer,put off,suspend"
"Interface","/ˈɪntəfeɪs/","noun","A point where two systems, subjects, organizations, etc. meet and interact; layout of software.","Giao diện","The software user interface is simple and easy to navigate.","The software user interface is simple and easy to navigate.","technology","650","interaction point,layout,screen"
"Implement","/ˈɪmplɪment/","verb","To put a decision, plan, or agreement into effect.","Thi hành, thực hiện, áp dụng","The board voted to implement the new safety regulations starting next month.","The board voted to implement the new safety regulations starting next month.","technology","700","execute,enforce,apply,carry out"
"Functional","/ˈfʌŋkʃənl/","adjective","Designed to be practical and useful, rather than attractive; in working order.","Hoạt động được, có chức năng","The website is now fully functional after the recent database update.","The website is now fully functional after the recent database update.","technology","600","practical,working,operative,utilitarian"
"Developer","/dɪˈveləpə(r)/","noun","A person or company that creates computer software or applications.","Lập trình viên, nhà phát triển","The senior developer fixed the critical login bug within ten minutes.","The senior developer fixed the critical login bug within ten minutes.","technology","550","programmer,coder,software engineer"
"Debug","/ˌdiːˈbʌɡ/","verb","Identify and remove errors from computer hardware or software.","Gỡ lỗi, tìm lỗi lập trình","Software engineers spent all night trying to debug the checkout process.","Software engineers spent all night trying to debug the checkout process.","technology","750","troubleshoot,fix,correct,clean"
"Code","/kəʊd/","noun","Program instructions written in computer languages.","Mã nguồn, quy chuẩn","The developer wrote clean code that is easy to maintain.","The developer wrote clean code that is easy to maintain.","technology","500","source code,program,instructions"
"Server","/ˈsɜːvə(r)/","noun","A computer or computer program which manages access to a centralized resource or service in a network.","Máy chủ","The company server went offline temporarily due to power maintenance.","The company server went offline temporarily due to power maintenance.","technology","550","host,mainframe,database machine"
"Database","/ˈdeɪtəbeɪs/","noun","A structured set of data held in a computer, especially one that is accessible in various ways.","Cơ sở dữ liệu","We stored all user profile records in a secure database.","We stored all user profile records in a secure database.","technology","600","data bank,records file,archive"
"Deploy","/dɪˈplɔɪ/","verb","Move software or applications into a position for active use; publish live.","Triển khai, đưa lên (hệ thống live)","The DevOps team plans to deploy the new platform version tonight.","The DevOps team plans to deploy the new platform version tonight.","technology","750","publish,launch,install,set up"
"Optimize","/ˈɒptɪmaɪz/","verb","Make the best or most effective use of a situation or resource; speed up code.","Tối ưu hóa","We need to optimize the web images to decrease page loading time.","We need to optimize the web images to decrease page loading time.","technology","700","maximize efficiency,streamline,improve"
"Scale","/skeɪl/","verb","Adjust in size, amount, or production level, especially to increase capability.","Mở rộng quy mô","Cloud computing allows startups to scale their infrastructure easily.","Cloud computing allows startups to scale their infrastructure easily.","technology","700","expand,grow,enlarge,adjust"
"Secure","/sɪˈkjʊə(r)/","adjective","Protected against attack or other criminal activity.","An toàn, được bảo mật","Make sure you are using a secure internet connection before entering passwords.","Make sure you are using a secure internet connection before entering passwords.","technology","600","safe,protected,guarded,locked"
"Encode","/ɪnˈkəʊd/","verb","Convert information or data into a coded form.","Mã hóa thông tin","We encode video uploads into different resolutions automatically.","We encode video uploads into different resolutions automatically.","technology","800","encrypt,cipher,scramble"
"Encrypt","/ɪnˈkrɪpt/","verb","Convert information or data into cipher or code, especially to prevent unauthorized access.","Mã hóa bảo mật","The security system will encrypt all passwords before storing them.","The security system will encrypt all passwords before storing them.","technology","800","code,scramble,secure"
"Parse","/pɑːz/","verb","Analyze a string or text into logical syntactic components.","Phân tích cú pháp, trích xuất dữ liệu","We use the library to parse CSV documents uploaded by administrators.","We use the library to parse CSV documents uploaded by administrators.","technology","800","analyze,resolve,deconstruct"
"Format","/ˈfɔːmæt/","noun","The way in which something is arranged or set out.","Định dạng, cấu trúc","The database exports data in JSON format.","The database exports data in JSON format.","technology","500","layout,structure,design,type"
"Update","/ˌʌpˈdeɪt/","verb","Make something more modern or up to date by adding new information or features.","Cập nhật","Please update your operating system to patch security vulnerabilities.","Please update your operating system to patch security vulnerabilities.","technology","500","modernize,upgrade,renovate,renew"
"Upgrade","/ˌʌpˈɡreɪd/","verb","Raise something to a higher standard, in particular improve computer equipment or software.","Nâng cấp","The company decided to upgrade all office workstations with extra RAM.","The company decided to upgrade all office workstations with extra RAM.","technology","600","improve,advance,better,enhance"
"Compatibility","/kəmˌpætəˈbɪləti/","noun","A state in which two things are able to exist or occur together without problems or conflict.","Sự tương thích, tính tương thích","The IT technician checked the compatibility of the new hardware with older systems.","The IT technician checked the compatibility of the new hardware with older systems.","technology","800","harmony,agreement,affinity"
"Access","/ˈækses/","noun","The means or opportunity to approach or enter a place; permission to use resources.","Sự truy cập, quyền tiếp cận","Employees are granted access to the building using their ID badges.","Employees are granted access to the building using their ID badges.","technology","500","entry,admission,entrance,admittance"
"Consult","/kənˈsʌlt/","verb","Seek information or advice from someone, especially an expert.","Tham khảo ý kiến, tư vấn, hỏi ý kiến","You should consult a physician if the symptoms persist.","You should consult a physician if the symptoms persist.","healthcare","600","ask,seek advice,confer,discuss"
"Diagnose","/ˌdaɪəɡˈnəʊz/","verb","Identify the nature of an illness or other problem by examination of the symptoms.","Chẩn đoán","The specialist was able to diagnose the rare skin condition immediately.","The specialist was able to diagnose the rare skin condition immediately.","healthcare","750","identify,determine,detect,recognize"
"Prescribe","/prɪˈskraɪb/","verb","Authorize the use of a medicine or treatment for someone, especially in writing.","Kê đơn thuốc, quy định","The doctor chose to prescribe a mild antibiotic for the infection.","The doctor chose to prescribe a mild antibiotic for the infection.","healthcare","700","write a prescription,recommend,order,appoint"
"Clinic","/ˈklɪnɪk/","noun","An establishment or hospital department where outpatients are given medical treatment or advice.","Phòng khám","The local community clinic offers free dental checks on Saturdays.","The local community clinic offers free dental checks on Saturdays.","healthcare","500","medical center,dispensary,surgery"
"Safety","/ˈseɪfti/","noun","The condition of being protected from or unlikely to cause danger, risk, or injury.","Sự an toàn","The factory supervisor strictly inspects the safety equipment daily.","The factory supervisor strictly inspects the safety equipment daily.","healthcare","500","security,protection,safeness"
"Regulation","/ˌreɡjuˈleɪʃn/","noun","A rule or directive made and maintained by an authority.","Quy định, quy tắc","New safety regulations were introduced after the industrial accident.","New safety regulations were introduced after the industrial accident.","healthcare","650","rule,directive,law,decree"
"Policy","/ˈpɒləsi/","noun","A course or principle of action adopted or proposed by an organization or individual.","Chính sách","The company health insurance policy covers critical illnesses.","The company health insurance policy covers critical illnesses.","healthcare","600","strategy,plan,rule,code"
"Emergency","/ɪˈmɜːdʒənsi/","noun","A serious, unexpected, and often dangerous situation requiring immediate action.","Khẩn cấp, cấp cứu","Dial the local emergency hotline if someone is severely injured.","Dial the local emergency hotline if someone is severely injured.","healthcare","550","crisis,urgency,difficulty"
"Hygiene","/ˈhaɪdʒiːn/","noun","Conditions or practices conducive to maintaining health and preventing disease, especially through cleanliness.","Vệ sinh phòng bệnh, vệ sinh cá nhân","Kitchen staff must maintain high standards of personal hygiene.","Kitchen staff must maintain high standards of personal hygiene.","healthcare","750","cleanliness,sanitation,disinfection"
"Benefit","/ˈbenɪfɪt/","noun","An advantage or profit gained from something; payments made under insurance plan.","Phúc lợi, lợi ích","Employees receive comprehensive health insurance benefits.","Employees receive comprehensive health insurance benefits.","healthcare","500","welfare,advantage,profit,aid"
"Coverage","/ˈkʌvərɪdʒ/","noun","The treatment of an issue by the media; or the amount of risk or liability covered by insurance.","Mức bảo hiểm, phạm vi chi trả bảo hiểm","You must check the insurance coverage options before booking the medical procedure.","You must check the insurance coverage options before booking the medical procedure.","healthcare","700","insurance protection,shielding,spread"
"Premium","/ˈpriːmiəm/","noun","An amount to be paid for a contract of insurance.","Phí bảo hiểm, tiền thưởng thêm","Monthly insurance premiums depend on the client's age and health records.","Monthly insurance premiums depend on the client's age and health records.","healthcare","750","insurance fee,payment,bonus"
"Claim","/kleɪm/","noun","A formal request to an insurance company asking for a payment based on the terms of the insurance policy.","Yêu cầu bồi thường (bảo hiểm)","The insurance company processed the claim within five business days.","The insurance company processed the claim within five business days.","healthcare","650","request,demand,application,assertion"
"Treat","/triːt/","verb","Give medical care or attention to someone, or deal with a disease.","Điều trị, đối đãi","Antibiotics are used to treat bacterial infections.","Antibiotics are used to treat bacterial infections.","healthcare","500","cure,heal,attend to,nurse"
"Condition","/kənˈdɪʃn/","noun","The state of something with regard to its appearance, quality, or working order; state of health.","Tình trạng sức khỏe, điều kiện","The patient's condition has stabilized after the emergency operation.","The patient's condition has stabilized after the emergency operation.","healthcare","500","state,health,shape,status"
"Prevent","/prɪˈvent/","verb","Keep something from happening or arising.","Ngăn ngừa, phòng chống","Regular physical exercise can prevent many chronic cardiovascular illnesses.","Regular physical exercise can prevent many chronic cardiovascular illnesses.","healthcare","550","stop,block,avoid,preclude"
"Physical","/ˈfɪzɪkl/","adjective","Relating to the body as opposed to the mind.","Thuộc thể chất, thuộc vật lý","The job applicant had to pass a physical fitness test.","The job applicant had to pass a physical fitness test.","healthcare","500","bodily,corporeal,material"
"Therapy","/ˈθerəpi/","noun","Treatment intended to relieve or heal a disorder.","Liệu pháp, sự điều trị phục hồi","Physical therapy is crucial to recover movements after a muscle injury.","Physical therapy is crucial to recover movements after a muscle injury.","healthcare","700","treatment,rehabilitation,cure,healing"
"Recover","/rɪˈkʌvə(r)/","verb","Return to a normal state of health, mind, or strength.","Phục hồi, bình phục","It took him several weeks to recover from the heart surgery.","It took him several weeks to recover from the heart surgery.","healthcare","550","heal,convalesce,mend,recuperate"
"Hygiene regulations","/ˈhaɪdʒiːn ˌreɡjuˈleɪʃnz/","noun","Official rules ensuring cleanliness and health safety.","Các quy định vệ sinh dịch tễ","The restaurant was fined for violating food hygiene regulations.","The restaurant was fined for violating food hygiene regulations.","healthcare","750","sanitation rules,cleanliness laws"
"Curriculum","/kəˈrɪkjələm/","noun","The subjects comprising a course of study in a school or college.","Chương trình giảng dạy","The academic board revised the business management curriculum to include data analytics.","The academic board revised the business management curriculum to include data analytics.","education","800","syllabus,course of study,program"
"Mandatory","/ˈmændətəri/","adjective","Required by law or rules; compulsory.","Bắt buộc","Attendance at the orientation session is mandatory for all new students.","Attendance at the orientation session is mandatory for all new students.","education","700","compulsory,obligatory,required,forced"
"Internship","/ˈɪntɜːnʃɪp/","noun","The position of a student or trainee who works in an organization, sometimes without pay, to gain work experience.","Kỳ thực tập, công việc thực tập","Doing a summer internship at a major marketing firm is highly beneficial for your resume.","Doing a summer internship at a major marketing firm is highly beneficial for your resume.","education","650","traineeship,apprenticeship"
"Scholar","/ˈskɒlə(r)/","noun","A specialist in a particular branch of study, especially the humanities; a student who holds a scholarship.","Học giả, người nhận học bổng","The young scholar was invited to present her research paper at the conference.","The young scholar was invited to present her research paper at the conference.","education","750","academic,intellectual,student,fellow"
"Qualify","/ˈkwɒlɪfaɪ/","verb","Be entitled to a particular benefit or privilege by fulfilling a necessary condition.","Đủ điều kiện, làm cho có đủ năng lực","You must work at the company for one year to qualify for paid parental leave.","You must work at the company for one year to qualify for paid parental leave.","education","650","meet requirements,fit,suit,entitle"
"Candidate","/ˈkændɪdət/","noun","A person who applies for a job or is nominated for election.","Ứng viên","The hiring team interviewed five qualified candidates for the finance position.","The hiring team interviewed five qualified candidates for the finance position.","education","550","applicant,competitor,nominee,contender"
"Register","/ˈredʒɪstə(r)/","verb","Enter or record on an official list or directory; sign up.","Đăng ký","You need to register online to attend the professional sales workshop.","You need to register online to attend the professional sales workshop.","education","500","enroll,sign up,record,log"
"Enroll","/ɪnˈrəʊl/","verb","Officially register as a member of an institution or a student on a course.","Ghi danh, tuyển sinh, đăng ký học","Students can enroll in the advanced English class starting next week.","Students can enroll in the advanced English class starting next week.","education","650","register,enlist,sign up,join"
"Session","/ˈseʃn/","noun","A meeting of an official body, or a period devoted to a particular activity.","Phiên họp, buổi học, buổi tập","The morning training session will cover standard customer service procedures.","The morning training session will cover standard customer service procedures.","education","500","meeting,term,class,period"
"Certificate","/səˈtɪfɪkət/","noun","An official document attesting a certain fact, especially achievement in an exam.","Chứng chỉ, bằng chứng nhận","You will receive a certificate of completion after passing the final exam.","You will receive a certificate of completion after passing the final exam.","education","600","document,credential,diploma,license"
"Workshop","/ˈwɜːkʃɒp/","noun","A meeting at which a group of people engage in intensive discussion and activity on a particular project.","Hội thảo thực hành, xưởng làm việc","The graphic designer led a workshop on digital brand design.","The graphic designer led a workshop on digital brand design.","education","600","seminar,class,studio"
"Mentor","/ˈmentɔː(r)/","noun","An experienced and trusted adviser.","Người hướng dẫn, người cố vấn","An experienced manager will act as a mentor during your first month of internship.","An experienced manager will act as a mentor during your first month of internship.","education","700","adviser,guide,coach,teacher"
"Trainee","/ˌtreɪˈniː/","noun","A person undergoing training for a job.","Thực tập sinh, người được đào tạo","The new trainee is learning how to process sales orders in the system.","The new trainee is learning how to process sales orders in the system.","education","600","apprentice,intern,learner,pupil"
"Criteria","/kraɪˈtɪəriə/","noun","Principles or standards by which something may be judged or decided.","Tiêu chí (số nhiều của criterion)","The primary criteria for the scholarship include academic excellence and financial need.","The primary criteria for the scholarship include academic excellence and financial need.","education","750","standards,benchmarks,measures,rules"
"Requirement","/rɪˈkwaɪəmənt/","noun","A thing that is needed or wanted; a condition that must be met.","Yêu cầu, điều kiện tiên quyết","Fluency in English is a mandatory requirement for this international job.","Fluency in English is a mandatory requirement for this international job.","education","550","need,condition,necessity,obligation"
"Compensation","/ˌdɒmpenˈseɪʃn/","noun","Something, typically money, awarded to someone as a recompense for loss, injury, or work.","Tiền bồi thường, lương bổng","The company offers competitive compensation including health insurance and stock options.","The company offers competitive compensation including health insurance and stock options.","education","750","payment,remuneration,salary,recompense"
"Hire","/ˈhaɪə(r)/","verb","Employ someone for wages.","Thuê, tuyển dụng","We intend to hire two additional accountants before the audit starts.","We intend to hire two additional accountants before the audit starts.","education","500","employ,recruit,engage,take on"
"Evaluation","/ɪˌvæljuˈeɪʃn/","noun","The making of a judgment about the amount, number, or value of something; assessment.","Sự đánh giá","Employees receive a performance evaluation from their managers annually.","Employees receive a performance evaluation from their managers annually.","education","700","assessment,appraisal,rating,analysis"
"Syllabus","/ˈsɪləbəs/","noun","An outline of the subjects in a course of study or teaching.","Đề cương môn học","The teacher distributed the course syllabus on the first day of class.","The teacher distributed the course syllabus on the first day of class.","education","700","curriculum outline,program,schedule"
"Faculty","/ˈfæklti/","noun","The teaching staff of a university or college.","Khoa, toàn bộ giảng viên của một khoa","The university faculty voted to approve the new research guidelines.","The university faculty voted to approve the new research guidelines.","education","750","academic staff,teachers,professors"
"Correspond","/ˌkɒrəˈspɒnd/","verb","Communicate by exchanging letters, emails, or other messages.","Trao đổi thư tín, tương thích","We correspond regularly with our overseas clients via secure email channels.","We correspond regularly with our overseas clients via secure email channels.","general","750","communicate,write,keep in touch"
"Transmit","/trænzˈmɪt/","verb","Cause something to pass on from one place or person to another.","Truyền đi, phát đi (tín hiệu, dữ liệu)","The satellite dish is used to transmit television signals globally.","The satellite dish is used to transmit television signals globally.","general","700","send,transfer,broadcast,convey"
"Notify","/ˈnəʊtɪfaɪ/","verb","Inform someone or give official notice to them.","Thông báo, khai báo","Please notify the HR department immediately if your contact details change.","Please notify the HR department immediately if your contact details change.","general","600","inform,tell,alert,warn"
"Address","/əˈdres/","verb","Think about and begin to deal with an issue or problem.","Giải quyết, hướng tới, phát biểu trước","The management needs to address the staff shortage issue immediately.","The management needs to address the staff shortage issue immediately.","general","650","tackle,handle,deal with,attend to"
"Request","/rɪˈkwest/","noun","An act of formally or politely asking for something.","Lời yêu cầu, lời thỉnh cầu","We received a formal request for additional funding from the project lead.","We received a formal request for additional funding from the project lead.","general","500","appeal,petition,demand,application"
"Confirm","/kənˈfɜːm/","verb","Establish the truth or correctness of something; verify.","Xác nhận, khẳng định","Please click the link in your email to confirm your subscription.","Please click the link in your email to confirm your subscription.","general","500","verify,validate,corroborate,prove"
"Response","/rɪˈspɒns/","noun","A verbal or written answer; a reaction to something.","Sự phản hồi, câu trả lời","We received a prompt response to our inquiry from the customer desk.","We received a prompt response to our inquiry from the customer desk.","general","500","answer,reply,reaction,retort"
"Forward","/ˈfɔːwəd/","verb","Send an email or letter on to a further destination.","Chuyển tiếp (thư, email)","Could you please forward the invoice details to the accounting manager?","Could you please forward the invoice details to the accounting manager?","general","500","re-send,redirect,transmit"
"Envelope","/ˈenvələʊp/","noun","A flat paper container with a sealable flap, used to enclose a letter or document.","Phong bì, bao thư","Please place the signed contract inside the envelope and mail it to our office.","Please place the signed contract inside the envelope and mail it to our office.","general","500","cover,wrapper,casing"
"Postage","/ˈpəʊstɪdʒ/","noun","The charge for mailing a letter or package.","Cước phí bưu điện, tem bưu chính","The company covers all postage costs for official documents.","The company covers all postage costs for official documents.","general","650","mailing charge,postal fee"
"Courier","/ˈkʊriə(r)/","noun","A company or person who transports and delivers letters, packages, or mail.","Người đưa thư, dịch vụ chuyển phát nhanh","We sent the confidential files via a local courier to guarantee same-day delivery.","We sent the confidential files via a local courier to guarantee same-day delivery.","general","650","messenger,carrier,runner,delivery agent"
"Immediate","/ɪˈmiːdiət/","adjective","Occurring or done at once; instant.","Lập tức, ngay tức thì","The system update will take immediate effect after the server reboot.","The system update will take immediate effect after the server reboot.","general","550","instant,prompt,direct,quick"
"Urgent","/ˈɜːdʒənt/","adjective","Requiring immediate action or attention.","Khẩn cấp, cấp bách","The manager left an urgent voice message regarding the contract issue.","The manager left an urgent voice message regarding the contract issue.","general","550","pressing,critical,acute,grave"
"Acknowledge","/əkˈnɒlɪdʒ/","verb","Accept or admit the existence or truth of; or confirm receipt of email or letter.","Xác nhận (đã nhận được), công nhận","Please send a quick reply to acknowledge receipt of this email.","Please send a quick reply to acknowledge receipt of this email.","general","700","confirm receipt,admit,recognize,accept"
"Prompt","/prɒmpt/","adjective","Done without delay; immediate.","Nhanh chóng, tức thời, nhắc nhở","We appreciate your prompt response to our business proposal.","We appreciate your prompt response to our business proposal.","general","650","quick,swift,rapid,speedy"
"Inquiry","/ɪnˈkwaɪəri/","noun","An act of asking for information.","Yêu cầu thông tin, thư hỏi hàng, cuộc điều tra","Our customer support desk handles hundreds of product inquiries daily.","Our customer support desk handles hundreds of product inquiries daily.","general","650","query,question,investigation,probe"
"Attachment","/əˈtætʃmənt/","noun","An extra part or document that is added or joined to something.","Tệp đính kèm, phụ kiện","Please review the PDF attachment for the full conference schedule.","Please review the PDF attachment for the full conference schedule.","general","500","appendix,annex,adjunct,addition"
"Clarification","/ˌklærɪfɪˈkeɪʃn/","noun","The action of making a statement or situation less confusing and more comprehensible.","Sự làm rõ, sự giải thích rõ ràng","We wrote back to the client requesting clarification on some contract terms.","We wrote back to the client requesting clarification on some contract terms.","general","700","explanation,elucidation,simplification"
"Signify","/ˈsɪɡnɪfaɪ/","verb","Be an indication of; mean.","Biểu thị, có nghĩa là, tuyên bố","Signing this document will signify your acceptance of the partnership terms.","Signing this document will signify your acceptance of the partnership terms.","general","750","mean,indicate,denote,represent"
"Disclaimer","/dɪsˈkleɪmə(r)/","noun","A statement that denies something, especially responsibility.","Điều khoản miễn trừ trách nhiệm","The email includes a standard disclaimer stating that the opinions expressed are personal.","The email includes a standard disclaimer stating that the opinions expressed are personal.","general","800","renunciation,repudiation,denial"
